,id,type,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var
230,10,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1411.039254,205580.737,2768.243493,1427858.563,0.062999258,0.000441857,-4.600243686,4791.974809,16.16774026,28.19974829,-173.5999205,8145.897997,137.1349217,1084.841071,-23.82398191,1026.444701,26.95842458,496.4634965,-16.67277257,290.3157284
253,11,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1354.33525,512126.0393,2884.873331,2933054.516,0.044010417,0.001897398,-8.586991392,8306.082264,27.48429843,34.29267283,-287.8924329,5945.924622,123.9141805,993.7524138,5.451715995,302.8117303,33.72965991,343.2933819,1.091040201,442.3862794
276,12,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1361.855612,257031.3369,2741.619107,951298.6721,0.069151223,0.002384989,-2.174525107,5588.414911,16.87918322,22.43260258,-207.1475711,4583.83587,132.7410448,664.5144359,-15.45738002,936.6361627,61.0266701,330.8988842,0.69133397,313.2044093
299,13,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1323.95625,171894.1718,2707.650061,1074637.73,0.051426992,0.001258344,-1.756002397,5138.736922,17.06213721,22.54365054,-209.6821385,1965.772011,124.4876719,542.7260663,10.27358584,662.2544784,47.03736475,148.696013,6.500876018,102.2747927
322,14,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1172.308834,147511.7503,2345.742017,878423.0127,0.045034672,0.001563865,-5.840082404,9278.46937,17.68887768,18.91398346,-305.8031797,8203.117753,113.0356511,683.9214766,12.14148895,1465.468619,44.99841154,226.2068116,17.7715369,250.4394577
345,15,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1420.952845,200270.8807,2931.545297,700604.0621,0.063719568,0.001945738,-4.253259885,6241.387025,16.85979017,21.36012361,-238.5583839,4388.274305,120.0279304,727.5274908,-4.20123594,980.4777993,42.32807833,383.6457315,5.892117882,298.8746966
368,16,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1454.586059,152436.8872,3008.739326,1011571.403,0.061259993,0.00141896,-3.658144878,6139.315585,16.85840469,21.49880776,-233.8046011,4975.898813,120.6813164,562.9007088,-3.143268252,1209.697532,39.52404607,397.4029164,3.909156403,282.4596805
391,17,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1087.333925,230898.5592,2132.13765,1080465.022,0.048216827,0.000841622,-1.502557,7144.193224,15.95749754,22.25278449,-245.9217183,5187.520544,140.5431355,799.6711454,-2.705198025,795.4001864,60.41771597,360.777988,18.98937131,234.18509
414,18,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1536.465338,192400.4049,3495.38137,1832069.428,0.055948704,0.00170702,-4.779370959,6360.852497,18.18753479,24.39488992,-252.6389395,2880.393095,105.0096706,600.7123422,15.41699602,660.8915091,42.62785589,163.2031108,6.802267683,92.69099091
437,19,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1194.842714,249955.7245,2233.911246,1210056.39,0.058743262,0.001800921,-3.630225492,6667.816795,16.52035107,25.69432612,-236.7429054,5587.678721,138.4196681,538.06935,-4.879666943,1169.140992,47.5964932,312.8263977,5.180003541,468.5100263
460,20,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1389.345916,102835.7725,3004.733149,947647.7505,0.052451626,0.000613403,-3.395573739,5893.143177,16.32444939,20.58906077,-230.5157607,2981.182378,127.1321427,397.8119606,7.203532967,600.0389161,39.80984158,175.0239257,2.008613813,114.23794
483,21,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1047.379681,291876.472,1831.899698,1351333.678,0.047972308,0.002335081,-1.722867258,7922.487044,19.30589303,23.91023035,-264.7147697,6359.655902,138.7990244,1002.36112,11.19597041,1289.006141,48.5436604,372.0180098,14.89019724,248.7173886
506,22,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1156.669959,314596.9574,2172.115961,1331234.934,0.058688378,0.002868537,-0.520539474,6656.70058,18.65446632,22.83241034,-233.6354008,6479.578973,136.2272913,959.8222508,3.215430977,1160.9266,48.92330805,385.2162402,8.645674474,303.4901263
529,23,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1211.126912,132014.1488,2523.532828,612937.0113,0.05249402,0.001090175,-4.327496249,6323.994042,16.06506426,21.28018371,-227.4186791,4162.594673,137.6844989,508.0511191,-14.49324372,1248.186805,63.51616611,211.4848497,5.632554446,153.399087
552,24,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1121.120589,176340.3822,2328.031375,1135504.941,0.047329972,0.001080377,-3.888251773,8188.818866,16.01938265,16.10361907,-274.0990543,5902.484217,130.46628,501.3002674,-6.478242705,1339.950557,70.40688807,312.1230281,13.23533381,230.8981517
575,25,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1109.813838,138930.1418,2242.749875,840485.8306,0.051754027,0.001341036,-2.168547654,7023.529044,14.45740174,17.93038765,-249.2854613,3990.420499,130.988863,338.926095,0.664647615,1583.196741,66.68170578,298.9515583,17.89337572,183.63233
598,26,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1199.146574,162073.8074,2481.442928,988969.9655,0.051987191,0.0014905,-5.673454505,8109.392589,17.44563024,16.08514443,-284.6564817,6234.729872,108.8920129,686.5820406,9.136444506,1451.163732,51.25252947,295.643574,18.09072056,211.8450189
621,27,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1390.295387,199625.207,2809.941122,541132.8618,0.072134281,0.002529379,-4.788307823,6170.768164,18.56322925,26.99608949,-228.2494048,2824.433526,130.4164374,687.3855786,-23.24018227,927.3397166,70.08688444,395.105737,1.156814685,182.0600183
644,28,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1115.660646,106002.2129,2289.396802,638692.2268,0.047986313,0.000818478,-3.960250675,7157.957691,15.08874828,20.09914589,-248.9816063,4978.767151,139.0625836,399.2952624,-16.25566497,1165.528074,57.04351078,328.7342914,20.20447538,158.4302006
667,29,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1649.945604,713342.8674,3762.810399,4165235.469,0.052917575,0.00325371,-9.020451332,5657.520569,35.19007333,17.72320374,-233.7603652,3692.207262,101.1765219,886.8828506,17.65323271,375.9625561,23.69967938,219.0281154,2.065527224,227.8864677
690,30,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1378.569069,552319.5773,3012.954158,4586662.444,0.03936266,0.000948041,-6.986869254,4961.098981,36.73225701,18.10259326,-206.9842066,2030.102711,117.8290718,766.8674963,23.27042662,282.4643396,28.2812538,261.7317704,-1.126551702,196.1223767
713,31,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1331.867327,352537.5412,2902.767589,3712027.234,0.043006601,0.001097279,-9.743504032,5320.434042,36.2363747,19.26080883,-221.720228,2510.880413,110.862765,586.2094439,18.61433111,190.6672444,30.9224805,180.9818726,3.290781296,221.7728652
736,32,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1309.324188,757873.2921,2766.240405,4694403.905,0.039373259,0.003165595,-11.85309183,7984.072569,36.98240057,26.0242893,-288.7943402,5327.492443,105.9916271,836.6461318,18.824795,434.574003,23.77775764,338.8032057,5.80011588,377.231479
759,33,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1430.770111,702435.1012,3249.318621,5574985.288,0.041927083,0.001442599,-9.889919511,6076.549887,37.02393592,20.50777235,-239.1305165,3216.892426,108.594094,819.4309363,34.14706207,279.655103,30.31362429,299.4363001,-0.38965708,233.7513962
782,34,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1535.548756,341801.1919,3595.360533,3715825.579,0.045638399,0.000694222,-8.466835083,5182.329017,35.40491916,19.45009897,-217.3364314,3597.847164,105.8292375,536.4693186,15.63295103,358.8435488,25.26305292,219.7916018,-1.431027584,216.3978045
805,35,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1507.22565,415074.4731,3405.910077,4193268.383,0.045443465,0.000575542,-5.051958261,3939.515584,34.93953382,20.17183028,-171.7881873,1947.982846,120.2830508,695.5724971,15.38921625,269.4518537,21.1029414,147.0937954,-5.436064604,175.0766547
828,36,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1246.667819,264124.879,2619.113542,3030923.514,0.036865613,0.000349024,-8.87061093,4743.596517,36.18055783,28.01346348,-200.2384521,2882.694853,116.3597506,485.4491008,18.12003593,198.8900624,25.34461581,289.2041603,0.323611643,180.671243
851,37,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1188.61036,370206.3351,2341.126567,2998769.405,0.048167242,0.00127534,-14.26117637,9901.552045,32.72621062,28.49967548,-328.7607355,7463.189389,102.630055,630.1794375,19.90579158,704.3456077,26.76802225,171.6342562,7.190829199,253.2107392
874,38,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1512.397691,552111.8601,3446.222236,4232768.624,0.044362055,0.00201944,-6.063342541,4512.489783,34.81405263,24.62343747,-192.6543001,3225.895013,111.2393737,761.0117893,21.40005548,298.2462735,26.39465158,251.1854225,-0.649518982,190.8009608
897,39,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1152.086578,515578.6724,2314.669104,3926437.04,0.035363296,0.000947469,-15.19543158,8486.718098,36.64206291,25.69624834,-301.6044789,5073.082198,111.5332049,596.1227307,21.9101882,302.7396986,16.15414149,242.7361114,8.17679269,284.693424
920,40,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2272.473467,202786.4227,5108.268362,582864.5966,0.097608557,0.001381995,4.540551885,2410.787173,18.35419849,13.89052475,-110.2210185,1289.280769,90.70017537,231.1917142,-2.524258947,228.0466231,74.02768125,114.0560426,-11.73685393,113.5804233
943,41,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2391.578199,306766.7821,5404.692099,955238.5002,0.102281295,0.001598253,5.145927546,2193.980252,19.7332744,13.66073565,-107.1598376,1419.935893,88.42411149,378.4248896,-4.182216076,324.9324448,55.49074477,129.728922,-8.000991099,107.2391836
966,42,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2302.57272,205285.4672,5188.850949,563919.1279,0.097898877,0.001828391,3.261239892,3373.743588,22.5614883,16.5634771,-159.5075674,2446.143165,69.7709332,240.958467,-4.388317443,516.2221395,76.88354533,111.1337147,3.927868427,119.2745675
989,43,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2155.208531,188285.9433,5013.438806,938931.3594,0.087016261,0.001219008,4.20761729,2415.248589,19.28824492,15.98868689,-109.293317,2199.192455,100.6474435,230.0438164,-8.524958796,378.995532,47.38989121,82.51938168,-6.529945818,89.68452659
1012,44,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2278.457333,170838.0601,5196.69638,568870.1317,0.092580396,0.000901672,5.339569547,2242.549368,19.85803279,13.74472387,-109.5163257,824.9019911,86.95304634,227.4696813,-8.638026377,279.2700442,64.47703021,82.8688332,-6.310355545,55.11816597
1035,45,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1738.814351,145472.8733,4550.633517,821069.2423,0.048026435,0.000265254,4.374602515,3499.706841,24.18709704,13.17307822,-163.179932,669.0369965,89.79968077,208.0749177,12.97462222,135.0731017,80.67724829,43.4053869,3.65817165,32.92569955
1058,46,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1910.862562,330687.8605,4773.911133,1286824.656,0.058333712,0.000908811,1.653142589,4066.425311,20.99981376,23.46102975,-182.8084094,2254.013906,90.71240755,451.3054842,14.11940267,267.6146283,67.53981727,173.8450313,2.720722704,117.2091219
1081,47,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2013.930183,162674.6146,4850.53762,581114.6792,0.075336119,0.000841522,0.926124632,3174.653242,23.66436973,15.030478,-149.983991,1107.470674,93.58893921,194.0941214,6.331711175,172.6263352,71.54059918,97.10644869,-8.068378835,95.81928302
1104,48,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2149.767892,165740.3674,4675.709711,819169.1382,0.09883191,0.001311613,4.041485386,2417.684078,20.56276204,15.65299937,-106.2185652,1514.502049,102.5957312,266.5163553,-20.16899389,371.4258921,59.3636864,124.8813138,-9.974288903,129.9946995
1127,49,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1319.730828,412154.7386,3050.695687,3065123.495,0.039982286,0.000761668,-3.067418686,6952.578698,25.48906882,23.53635235,-255.8119731,3155.559173,110.7931848,668.4626253,21.47149455,354.5616158,67.59756738,204.709944,4.278314177,197.6755517
1150,50,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1946.715351,147299.9713,4178.317758,804195.4496,0.085806913,0.001223174,7.409938393,2150.819835,19.99134158,20.35974518,-82.93562499,2508.906344,106.9856297,312.3607988,-25.29806469,340.9020189,57.16195799,203.6387377,0.086505372,138.8548832
1173,51,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1976.971251,137304.2456,3941.143714,694892.3261,0.106603909,0.000949967,7.695049315,1953.680533,22.31485488,23.36304817,-55.55648336,1012.628885,114.9461441,318.3150567,-37.11387228,204.6045366,64.90421496,69.2451924,-7.138954758,94.87669139
1196,52,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1441.359941,446739.501,3065.201388,2075048.636,0.067083031,0.003077107,0.108283914,6213.382873,24.47452156,36.86411213,-225.3857673,7873.681051,117.7035379,670.3867232,-14.56192455,817.2118133,64.81716968,174.558089,12.9718431,314.0142916
1219,53,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2170.291033,169735.5825,4235.72294,746140.5518,0.132658445,0.00235154,5.03374104,2238.713959,20.42056846,27.54574842,-76.7673113,2911.526126,105.7925368,433.2994489,-43.19326298,390.7359204,60.90580751,407.520745,-8.749975713,206.0471018
1242,54,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2030.058793,221179.7432,4062.639387,849157.7269,0.10321925,0.001907027,8.826115834,1943.132572,21.77834627,22.02289534,-58.05321647,1744.106996,108.9974518,454.0760386,-36.16303472,303.9978039,64.01669266,150.9621623,1.454068517,180.9418055
1265,55,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2031.782508,191319.6421,4022.47746,773246.7998,0.113147257,0.002533946,4.977456815,2466.416319,19.69417663,22.98521229,-98.55121045,3331.234929,104.8058661,340.6231829,-35.12711611,349.7069568,60.70536994,285.1988809,-2.822944245,155.0435762
1288,56,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1811.03482,346851.6416,3927.188863,1517414.116,0.075323628,0.001690611,3.161092867,3341.945812,24.96890684,34.51467801,-145.4334877,4620.17453,102.8242091,532.1154272,-12.50815135,356.2470285,56.98518556,279.5949309,2.278474783,262.0471123
1311,57,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1886.544128,253843.6838,3828.161167,1249959.351,0.089873652,0.001541123,5.80549205,2564.709163,22.97136882,30.51462274,-92.88468805,3126.775267,115.3498828,523.3160908,-35.015313,409.6510158,57.81826093,330.252769,1.846332833,302.1511943
1334,58,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2067.443985,283338.1302,4229.421557,1130548.012,0.104289683,0.001933219,3.57706638,2407.569764,20.81421036,30.09306637,-95.45220384,3222.886012,105.2424371,613.1559879,-26.97227291,376.8039441,60.85020877,116.8869312,-4.811748826,153.1505283
1357,59,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2236.554454,239412.371,4390.937273,724511.7048,0.14233247,0.004218036,5.786989538,2039.350455,20.55249174,31.69272926,-86.25162132,2578.431126,91.91426161,321.0835817,-23.40809423,239.3982615,68.24443802,143.4469551,-3.902800721,228.4296596
1380,60,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1947.381095,124761.9067,3957.318655,640472.262,0.097493868,0.001398743,8.176309516,2046.523918,20.73036036,21.83081455,-67.76971484,1613.741119,111.6461064,307.5313474,-34.6619644,222.8237738,61.35881735,228.2517332,0.102424618,175.0513659
1403,61,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2503.895942,163271.9012,5076.427598,397854.6381,0.167524376,0.002561109,4.260069987,2122.133478,19.15713694,12.00584128,-82.3873492,1040.785104,94.16192955,208.3750818,-27.15131764,165.7863605,75.64891563,55.36285428,-27.5179372,68.12742206
1426,62,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2279.361009,424812.6997,4728.950139,788842.0909,0.117186364,0.003792065,-3.947394284,3111.656907,24.73626102,19.30795781,-145.1497533,1829.08337,95.75372522,716.9233859,-21.64154332,419.283262,49.63804884,186.5113698,-29.92217171,267.9065185
1449,63,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2838.107763,288406.7583,5709.837618,475797.2664,0.153993308,0.003011537,-4.967539117,2419.277485,22.97270625,21.16789534,-129.0237946,2038.433444,72.15769527,424.4133538,-7.74006993,596.4956997,49.26297736,142.335023,-32.71002544,108.1886936
1472,64,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2552.813901,108112.6835,5147.862748,276948.9292,0.146798919,0.00106782,-1.328853407,1832.151732,22.0096553,17.68288488,-85.25229804,879.5994876,88.80720192,172.2489887,-16.28188278,190.476895,59.224393,130.3253641,-35.97859748,78.39278106
1495,65,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2817.546092,347954.1095,5616.126453,616985.115,0.146270894,0.002557026,-5.302087151,2209.680016,20.24408299,16.83072638,-118.4063695,1185.404733,74.80899915,607.4310163,-19.84927553,342.7208373,46.9302319,126.5766576,-32.55948315,129.1555247
1518,66,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2339.605877,347541.5599,4971.749523,734798.3951,0.121539638,0.003980137,-0.463753738,2457.062987,23.67357863,19.35414246,-116.4308417,1587.637317,97.45843502,505.202612,-13.89204648,292.4685665,48.97001187,155.0144337,-22.55423859,163.2392481
1541,67,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2259.199439,219180.8042,4756.258914,691614.8148,0.112854288,0.001701578,-0.362155405,2134.974513,22.09787187,17.96714436,-95.40801145,935.9083282,101.3514817,366.1186254,-20.70895832,346.388791,48.64557926,175.9936709,-30.27035017,140.4454479
1564,68,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2514.192564,176040.2172,5248.21749,473138.0387,0.135101366,0.001524141,-2.04164927,2230.341281,21.85911665,16.33654772,-113.1610723,1592.154993,88.67902168,316.1925748,-8.909917377,228.0690183,49.44990151,139.8134705,-34.58079271,123.1361189
1587,69,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2370.04007,236446.6318,5001.320119,480513.9633,0.125154433,0.002509646,-6.15353019,2576.710252,20.67958914,26.02491926,-121.3326654,1176.030829,96.16093751,434.2909302,-19.66106935,270.5230991,48.0013966,131.1229408,-38.8260325,199.8520304
1610,70,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2159.607035,329621.0743,4685.700116,1076194.962,0.098261113,0.001750431,-3.61135615,2913.393857,22.28708986,23.1343434,-133.0660423,1945.469198,105.7029388,801.5085943,-22.10990678,316.4827903,41.78879301,143.5697054,-26.97759673,155.2299411
1633,71,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2429.271066,97796.12316,5064.167026,231894.3071,0.134673646,0.001431185,0.129307799,1895.129382,23.09509806,16.15033728,-89.34941748,697.4180922,93.79452226,192.9856096,-14.62131238,132.2097291,54.3992713,99.45998656,-33.51990084,64.56537416
1656,72,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2596.59689,292353.622,5661.296103,548708.3945,0.12932867,0.002799889,-4.768908598,2275.574523,22.9525058,22.56205059,-118.6077445,756.7343985,87.57697962,306.3135136,6.569007549,248.5785173,45.08914829,87.28329329,-38.93138883,78.32574249
1679,73,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2095.241777,108728.2088,4481.819075,496215.3049,0.100550357,0.000997088,7.521939779,1438.588987,19.1104569,29.06853306,-30.08367956,1120.149943,103.7323913,204.6436385,-19.77934903,184.8749554,56.37338116,173.4092079,-12.72657334,121.2291613
1702,74,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2516.340763,272817.7357,5772.667832,998751.1991,0.120824249,0.00166912,6.108309515,1475.919422,16.89044898,26.9255499,-55.99486891,2868.024772,87.83487999,358.5250795,-1.562567435,287.9270278,41.20733832,166.2642706,-5.617806148,140.4316394
1725,75,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2227.016885,461609.6579,4706.724201,1854742.225,0.108716388,0.003204766,6.583256695,2328.996474,14.31016315,13.99636586,-86.13322241,6835.396855,92.63839183,781.8369223,-15.48093527,496.6093548,54.06091804,238.6992528,0.860091669,214.8217908
1748,76,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2645.377211,186545.1278,5611.911621,579883.2922,0.136393986,0.002681225,7.416251879,1288.625879,19.16243657,26.08313147,-52.64129249,1344.47512,74.43739265,221.9635554,-18.67595706,219.7301817,56.33130728,112.5347571,-3.948435165,128.0519527
1771,77,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2206.596753,184478.1164,4656.905716,1091956.394,0.11141859,0.001142317,7.90757268,1513.298612,20.13352886,27.37345835,-28.99103895,1957.184197,104.5403285,307.7263385,-30.97092077,308.2872098,38.13065736,108.9834126,-7.994764074,133.6961446
1794,78,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2334.473984,89775.25979,4945.05002,481614.8034,0.12387014,0.00055627,8.585696708,1315.320474,19.71626127,31.97735914,-2.582367071,734.9331329,101.2137668,164.2223006,-33.89804124,142.9463946,41.52360877,100.0103252,-13.81043447,106.0708704
1817,79,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2444.722728,131176.5975,5269.099689,416618.4665,0.124698325,0.001186182,9.958225067,1165.438971,21.51828064,37.58363368,-3.581423669,1030.097634,92.87047232,172.5833516,-25.13097025,147.647082,45.15989368,66.10348728,-10.869867,70.56876955
1840,80,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1826.893895,155652.0852,3743.480594,771135.292,0.093965752,0.001206229,5.565573134,1954.272139,21.50041052,32.05924844,-54.84403194,2265.89016,119.4793759,398.78974,-34.81033703,246.8327763,37.51641403,185.9589075,-15.88797231,157.7807471
1863,81,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2116.494974,95076.52388,4195.886514,438175.2316,0.12714768,0.000729101,4.394525448,1889.242619,20.61549498,35.751636,-26.76958552,4592.411196,107.4327964,431.4915788,-46.76529309,199.2689418,40.95039484,239.6835801,-21.44038247,73.11109808
1886,82,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2142.397768,127425.9408,4631.124296,970677.807,0.105112191,0.000645485,5.826175548,1535.89992,20.88016105,29.10109894,-29.32028274,1409.871278,108.6138601,253.9371877,-25.5474462,268.2970852,38.5115934,150.9947732,-18.3070686,204.3971297
1909,83,blues,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2314.021996,144290.1397,5034.17912,445249.5354,0.11789759,0.001315781,9.47000987,1293.672345,22.00252992,31.8302258,-19.92293585,969.1768078,98.91362818,152.8891441,-24.48128234,181.8333161,49.60172239,58.39652565,-16.185245,50.97607246
